Port,Country,Region,Year,Throughput_TEU,Cargo_Tons,Vessel_Arrivals,Imports_TEU,Exports_TEU,Growth_Rate_%
Hamburg,Germany,Europe,2019,54648910,1146529165,21284,23564813,31084096,-2.35
Antwerp,Belgium,Europe,2020,36632483,444828324,11685,15066292,21566190,7.27
Los Angeles,USA,North America,2001,47734783,1187792882,27568,21998500,25736282,3.92
Qingdao,China,Asia,2016,44297498,849528265,28431,20307254,23990243,1.23
Rotterdam,Netherlands,Europe,2011,7428388,141980063,40740,3640651,3787736,-4.77
Qingdao,China,Asia,2013,54488113,859890399,33897,22859639,31628473,6.63
Hamburg,Germany,Europe,2011,51393852,1156254959,24541,24577162,26816689,-1.9
Busan,South Korea,Asia,2001,19091261,339843924,23417,9804127,9287133,-4.47
Singapore,Singapore,Asia,2011,13585377,216377743,43763,7058690,6526686,10.67
Antwerp,Belgium,Europe,2013,41433622,738036967,34253,19269371,22164250,1.61
Singapore,Singapore,Asia,2014,7630708,143466982,31243,3978703,3652004,-0.31
Shanghai,China,Asia,2024,15788678,258161024,12027,7242229,8546448,-4.76
Rotterdam,Netherlands,Europe,2016,40291527,843507449,22666,16713285,23578241,1.09
Qingdao,China,Asia,2006,32009224,619361580,33599,15177610,16831613,6.37
Dubai,UAE,Middle East,2002,44070421,1027201796,15056,21003318,23067102,11.52
Rotterdam,Netherlands,Europe,2000,17796932,327804501,16910,8030218,9766713,-4.31
Shenzhen,China,Asia,2009,12887739,149734538,32403,7494391,5393347,-0.76
Busan,South Korea,Asia,2012,26970758,386929824,32299,15803233,11167524,8.74
Qingdao,China,Asia,2020,19643995,433249903,13627,9493981,10150013,10.02
Shenzhen,China,Asia,2022,28477595,436973532,33776,12940972,15536622,6.01
Qingdao,China,Asia,2019,42876684,982345938,31959,21730670,21146013,3.24
Shanghai,China,Asia,2018,21266473,320362988,44766,9222380,12044092,-1.28
Antwerp,Belgium,Europe,2008,23273392,255387860,49353,13789239,9484152,-0.72
Singapore,Singapore,Asia,2002,22194096,271240793,37728,10061831,12132264,11.6
Los Angeles,USA,North America,2022,10674719,252179436,31556,5314841,5359877,11.76
Hamburg,Germany,Europe,2003,16718070,358172850,22688,9122102,7595967,1.25
Busan,South Korea,Asia,2001,41634821,665422974,25087,23301719,18333101,-2.44
Los Angeles,USA,North America,2015,45910172,1050212725,12811,24585488,21324683,-4.72
Rotterdam,Netherlands,Europe,2018,26114003,513860692,28227,15357766,10756236,1.76
Hamburg,Germany,Europe,2017,46167719,556912614,18155,25255737,20911981,-1.45
Shenzhen,China,Asia,2002,47090758,937094814,41065,28086513,19004244,3.78
